X,Y,Z,sii_sii
-3.857907128991744000e+16,-1.520597093423513600e+16,-1.427707043984179200e+16,1.108106017112731934e+00
-3.857907128991744000e+16,-1.512638519024025600e+16,-1.426909468557312000e+16,1.149927616119384766e+00
-3.849948125095526400e+16,-1.838943720125235200e+16,-2.007735290612940800e+16,1.194609165191650391e+00
-3.849948125095526400e+16,-1.830984930977382400e+16,-2.026589123300556800e+16,1.231452941894531250e+00
-3.849948125095526400e+16,-1.823026356577894400e+16,-2.041199528299724800e+16,9.770334362983703613e-01
-3.849948125095526400e+16,-1.815067567430041600e+16,-2.047665386815488000e+16,1.098187923431396484e+00
-3.849948125095526400e+16,-1.552431713144012800e+16,3.279011035742208000e+15,1.319644689559936523e+00
-3.849948125095526400e+16,-1.536514349596672000e+16,-1.449989334315827200e+16,1.203806996345520020e+00
-3.849948125095526400e+16,-1.528555775197184000e+16,-1.432161354566860800e+16,1.158587574958801270e+00
-3.849948125095526400e+16,-1.520597093423513600e+16,-1.423127320356454400e+16,1.137349486351013184e+00
-3.849948125095526400e+16,-1.512638519024025600e+16,-1.416027309919436800e+16,1.167700409889221191e+00
-3.841989550696038400e+16,-1.838943720125235200e+16,-1.997180623231385600e+16,1.209595322608947754e+00
-3.841989550696038400e+16,-1.830984930977382400e+16,-2.022158435038003200e+16,1.134843111038208008e+00
-3.841989550696038400e+16,-1.823026356577894400e+16,-2.031214158833254400e+16,1.085317015647888184e+00
-3.841989550696038400e+16,-1.815067567430041600e+16,-2.039078243952230400e+16,1.021872758865356445e+00
-3.841989550696038400e+16,-1.536514349596672000e+16,-1.445321563858534400e+16,1.231454014778137207e+00
-3.841989550696038400e+16,-1.528555775197184000e+16,-1.432283331638067200e+16,1.132025480270385742e+00
-3.841989550696038400e+16,-1.520597093423513600e+16,-1.421934607938355200e+16,1.142772912979125977e+00
-3.841989550696038400e+16,-1.512638519024025600e+16,-1.415499565812940800e+16,1.083505630493164062e+00
-3.834030976296550400e+16,-1.830984930977382400e+16,-2.021931231268044800e+16,1.055512785911560059e+00
-3.834030976296550400e+16,-1.823026356577894400e+16,-2.033165147727462400e+16,8.990364670753479004e-01
-3.834030976296550400e+16,-1.815067567430041600e+16,-2.033434012680192000e+16,8.561375141143798828e-01
-3.834030976296550400e+16,-1.568349076691353600e+16,1.830019261267968000e+15,6.405355930328369141e-01
-3.834030976296550400e+16,-1.560390394917683200e+16,1.826391087644672000e+15,4.914778172969818115e-01
-3.834030976296550400e+16,-1.544473031370342400e+16,-1.461393331480166400e+16,1.307691335678100586e+00
-3.834030976296550400e+16,-1.536514349596672000e+16,-1.445804318182604800e+16,1.266667604446411133e+00
-3.834030976296550400e+16,-1.528555775197184000e+16,-1.436894301152870400e+16,1.189253330230712891e+00
-3.834030976296550400e+16,-1.520597093423513600e+16,-1.426518519159193600e+16,1.257325291633605957e+00
